news_article,topic

10-years-after-katrina-lessons-learned-lessons-learn.txt,STEM

100-campus-leaders-currently-engaged-2021-inclusive-leaders-academy-program.txt,liberal arts

100-students-faculty-and-staff-tour-civil-rights-sites-nations-capital-during-mlk.txt,liberal arts

12-emerging-technologies-may-help-power-future.txt,STEM

12-georgia-tech-faculty-members-receive-regents-recognition-0.txt,STEM

12-georgia-tech-faculty-members-receive-regents-recognition.txt,STEM

12th-annual-france-atlanta-returns-georgia-tech-virtual-and-person-events.txt,STEM

13-year-old-starts-first-day-georgia-tech-aerospace-engineering-student.txt,STEM

18-million-face-shields-delivered-protect-medical-workers-covid-19.txt,STEM

19-tech-faculty-receive-regents-distinctions.txt,STEM

2023-annual-cios-award-winners-announced.txt,liberal arts

219-million-gene-modulation-research-effort-targets-influenza-pandemics.txt,STEM

25-million-award-will-support-nuclear-nonproliferation-rd-education.txt,STEM

25-million-project-will-advance-dna-based-archival-data-storage.txt,STEM

30-years-later-story-freaknik-gets-told.txt,liberal arts

3d-nanobridges-formed-using-electron-beam-writing-tiny-jets-liquid-precursor.txt,STEM

3d-printing-technique-accelerates-nanoscale-fabrication-thousandfold.txt,STEM

40-year-math-mystery-and-four-generations-figuring.txt,STEM

40th-challenge-program-hosts-75-incoming-students.txt,STEM

65m-grant-build-ai-manufacturing-georgia.txt,STEM

77-student-teams-amaze-judges-2021-k-12-inventure-prize-state-finals.txt,STEM

9-student-groups-sustainable-missions.txt,liberal arts

aaas-honors-cola-fox-and-weitz-fellows.txt,liberal arts

abdallah-testifies-us-competitiveness-research-stem-pipeline-congressional-hearing.txt,STEM

abdallah-testify-congressional-hearing-us-competitiveness-critical-technologies.txt,STEM

accessible-affordable-and-applicable-future-higher-education.txt,STEM

addressing-environmental-challenges-big-data-and-artificial-intelligence.txt,STEM

adhesive-formed-bee-spit-and-flower-oil-could-form-basis-new-glues.txt,STEM

admission-delivers-early-action-2-decisions.txt,STEM

advanced-technology-development-center-hires-financial-technology-expert.txt,STEM

ai-aloe-revolutionizing-adult-online-learning-edulearn23-conference.txt,STEM

ai-and-neuroscience-become-dance-partners-georgia-tech-arts-event.txt,liberal arts

ai-hub-georgia-tech-unite-campus-artificial-intelligence-rd-and-commercialization.txt,STEM

ai4opt-sets-stage-future-engineers-and-leaders-through-seth-bonder-camp.txt,STEM

air-flow-key-ensuring-black-soldier-fly-larvae-thrive-sustainable-food-source.txt,STEM

airbnb-announces-new-atlanta-tech-hub.txt,STEM

al-vivian-leads-race-georgia-tech-conversation.txt,liberal arts

alex-orso-named-interim-dean-college-computing.txt,STEM

alregib-appointed-john-and-marilu-mccarty-chair-electrical-engineering.txt,STEM

alumnus-shane-kimbrough-takes-final-spacewalk.txt,STEM

amazon-and-georgia-tech-team-ciara-inspire-students-code-through-competition-remix.txt,STEM

amazon-robotics-gift-supports-georgia-techs-advanced-technology-development-center.txt,STEM

amazon-web-services-joins-georgia-techs-internet-things-research-center.txt,STEM

andrew-young-receive-ivan-allen-jr-prize-social-courage.txt,liberal arts

angela-davis-give-keynote-2021-georgia-tech-black-history-month-lecture.txt,liberal arts

angela-davis-talks-activism-and-reform-2021-black-history-month-lecture.txt,liberal arts

anthem-unveils-innovation-studio-technology-square.txt,STEM

anton-named-technologist-advisor-us-national-security-court.txt,STEM

apollo-11-one-giant-leap-scientific-discovery.txt,STEM

applications-now-open-2019-georgia-innovative-economic-development-internship.txt,STEM

assessing-california-storms.txt,STEM

assessing-role-negative-citations-science.txt,STEM

astrobiology-rising-georgia-tech-0.txt,STEM

astrobiology-rising-georgia-tech.txt,STEM

astronomical-odds.txt,STEM

atlanta-business-chronicle-names-duckett-40-under-40-list.txt,liberal arts

atlanta-honors-college-namesake-mayor-ivan-allen-jr-through-newly-dedicated-bridge.txt,liberal arts

atlanta-regional-commission-calls-kendeda-building-groundbreaking-example.txt,STEM

atlantas-importance-engineerings-future-brings-national-engineering-forum-region.txt,STEM

atomic-beams-shoot-straighter-cascading-silicon-peashooters.txt,STEM

atomic-level-imaging-could-offer-roadmap-metals-new-properties.txt,STEM

augmenting-reality-gt-students-fare-well-annual-hackmit.txt,STEM

autism-and-computing.txt,STEM

autism-and-engineering.txt,STEM

autonomous-trucking-collaboration-could-lead-more-resilient-affordable-supply-chain.txt,STEM

back-back-drone-racing-titles-further-rotorjackets-goal-expansion.txt,STEM

bacterial-conversations-cystic-fibrosis.txt,STEM

baking-and-boiling-botnets-could-drive-energy-market-swings-and-damage.txt,STEM

balancing-parenthood-and-pursuit-phd.txt,STEM

banning-words-instagram-doesnt-help-it-makes-it-worse.txt,liberal arts

bathroom-scale-could-monitor-millions-heart-failure.txt,STEM

baunach-named-associate-vice-provost-graduate-education-and-faculty-development.txt,liberal arts

be-afraid-what-read-halloween.txt,liberal arts

behind-iron-curtain-how-methane-making-microbes-kept-early-earth-warm.txt,STEM

beltline-impact.txt,STEM

bernard-f-schutz-elected-fellow-royal-society.txt,STEM

beyah-named-dean-college-engineering.txt,STEM

biomaterial-particles-educate-immune-system-accept-transplanted-islets.txt,STEM

biomolecular-tweezers-facilitate-study-mechanical-force-effects-cells-and-proteins.txt,STEM

biospark-labs-announces-expansion-support-life-sciences-research-science-square.txt,STEM

biospark-labs-continues-grow-support-life-sciences-research.txt,STEM

birth-massive-black-holes-early-universe-revealed.txt,STEM

biweekly-iot-news-digest-april-30-center-development-and-application-internet.txt,STEM

black-history-month-lecture-covers-criminal-justice-system-blacklivesmatter-and.txt,liberal arts

bluejeans-sunset-georgia-tech-may-30-update-sunset-date-extended-june-14.txt,STEM

bme-researchers-lead-24m-project-using-mrna-turn-helpful-immune-responses.txt,STEM

bme-team-takes-home-top-capstone-honors.txt,STEM

bowling-lane-refresh-tech-rec.txt,liberal arts

brains-over-brawn-acc-competition-focuses-student-entrepreneurship.txt,STEM

brewing-better-cup-coffee.txt,STEM

bringing-memes-masses.txt,STEM

brook-byers-professor-weissburg-wins-3m-grant-bring-biologically-inspired-design.txt,STEM

building-gas-pipeline-halfway-across-world.txt,STEM

buzz-bioscience.txt,STEM

cabrera-delivers-institute-address.txt,STEM

call-projects-2022-accelerate-festival.txt,STEM

campus-museum-features-african-american-works-paper.txt,liberal arts

can-cosmic-collisions-be-predicted-they-happen.txt,STEM

can-solar-geoengineering-save-world.txt,STEM

cap-gown-and-army-commission.txt,STEM

carbon-neutral-energy-solutions-lab-unlocks-potential-clean-energy.txt,STEM

careers-phase-2-rollout-month.txt,STEM

caring-animals-serving-our-country.txt,STEM

carnegie-corp-awards-485000-grant-nunn-school-study-nuclear-instability.txt,STEM

catalog-cosmic-cataclysms-helps-establish-gravitational-wave-astronomy.txt,STEM

cauteryguard-advances-acc-inventure-prize-finale.txt,STEM

cauteryguard-wins-inventure-prize.txt,STEM

cdc-awards-22-million-prevent-spread-infectious-diseases-health-care-facilities.txt,STEM

celebrate-national-poetry-month-ivan-allen-college-liberal-arts.txt,liberal arts

celebrating-womens-history-month.txt,STEM

cellphone-principles-help-microfluidic-chip-digitize-information-living-cells.txt,STEM

cellular-sensing-platform-supports-next-generation-bioscience-and-biotech.txt,STEM

ceramic-pump-moves-molten-metal-record-1400-degrees-celsius.txt,STEM

challenges-regulating-artificial-intelligence-cloned.txt,STEM

changing-conversation-georgia-tech-researchers-provide-new-approach-automated-story.txt,STEM

chemical-companion-evolves-information-resource-sophisticated-decision-support.txt,STEM

chick-fil-opens-innovation-center-tech-square.txt,STEM

childhood-love-experiments-builds-foundation-design-career-manufacturing.txt,STEM

chiral-metamaterial-produces-record-optical-shift-under-incremental-power.txt,STEM

cisco-funds-30-research-projects-across-georgia-tech.txt,STEM

classroom-learning-be-happy.txt,liberal arts

cleanroom-user-spotlight-mason-chilmonczyk.txt,STEM

climbing-stairs-just-got-easier-energy-recycling-steps.txt,STEM

cmdi-mighty-microbial-dynamics-healthier-people-and-planet.txt,STEM

cognitive-empowerment-program-opens-doors-first-members.txt,liberal arts

cold-suns-warm-exoplanets-and-methane-blankets.txt,liberal arts

collaboration-cnn-investigates-use-uavs-newsgathering-0.txt,STEM

college-athlete-company-founder.txt,STEM

college-engineering-duo-named-fellows-national-academy-inventors.txt,STEM

college-sciences-professor-appointed-top-role-search-gravitational-waves.txt,STEM

college-sciences-spotlights-exemplary-students-2021-awards.txt,STEM

collegiate-inventors-competition-selects-georgia-techemory-team-2016-finalists.txt,STEM

colliding-privacy-democracy-and-technology.txt,STEM

combination-features-produces-new-android-vulnerability.txt,STEM

combining-language-and-math-greater-good.txt,liberal arts

