news_article,text,topic
10-years-after-katrina-lessons-learned-lessons-learn.txt,"10 years after katrina: lessons learned, lessons to learn 
 as the nation marks the 10-year anniversary of hurricane katrina, we reflect on the catastrophic impact the storm had on new orleans and the entire gulf coast region. 
 a computer simulation of hurricane katrina gathering strength. 
 aug 25, 2015 
 - atlanta, ga 
 katrina remains one of the deadliest and costliest hurricanes in u.s. history, with more than 1,800 lives lost and damages estimated at over $100 billion. when the levees failed, about 80 percent of new orleans flooded. more than 1 million people across the gulf coast were forced to leave their homes - many never returned. in the years since, the region has served as a laboratory for researchers from the georgia institute of technology who have traveled to new orleans and other locations to study the effects of the disaster. their work has helped determine what went wrong; how best to rebuild the region; and how to help the nation prepare for future calamities. read the full story: 
 10 years after katrina: lessons learned, lessons to learn 
 additional images 
 contact 
 laura diamond national media relations phone: 404.894.6016 
 email 
 laura.diamond@comm.gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",STEM
100-campus-leaders-currently-engaged-2021-inclusive-leaders-academy-program.txt,"100 campus leaders currently engaged in 2021 inclusive leaders academy program 
 the latest class of campus leaders began matriculation in the 2021 inclusive leaders academy program at georgia tech on february 5. 
 the 2021 inclusive leaders academy cohort 
 apr 12, 2021 
 - atlanta, ga 
 the latest class of campus leaders began matriculation in the 2021 inclusive leaders academy program at georgia tech on february 5. the participants represent the fifth cohort of the program and include more than 100 managers, directors, executives, senior researchers, and faculty administrators from across the institute. 
 the inclusive leaders academy is designed to support managers and leaders in developing and honing global competencies and to positively shape tech's culture towards inclusive excellence. key learning benefits of the program and core curriculum topic areas facilitate social intelligence, self-awareness, resilience, and courage as leadership attributes. the curriculum provides an individualized path of self-guided learning as well as integration and practice techniques through virtual wisdom labs and dialogues. 
 this year's program will span 12 weeks. participants who complete the program will gain the equivalent of 18 hours of learning and practice and will receive a ""culture champions"" certificate. since the academy's initiative, more than 300 have completed the program. 
 the program was launched in 2017 by 
 institute diversity, equity, and 
 inclusion 's staff diversity, inclusion and engagement unit. pearl alexander, executive director of diversity, inclusion, and engagement and inclusive leaders academy director said, ""the initiative was responsive to the need to cultivate skills to foster inclusivity and to meet the increasing desires for meaningful professional development. the inclusive leaders academy offers practical guides and tools that help us ‘thrive on diversity,' act ethically, nurture the wellbeing of our community, and more. 
 curriculum content has been curated from the neuroleadership institute and  dare to lead,  the most recent book authored by and based on the research of brené brown. ""content is also inclusive of other research-based leadership practices that will support the institute's aspirational goals and ensure that we deliver on the mission of progress and service outlined in our 2030 strategic plan,"" alexander added. 
 one of the first instructor-led courses for the cohort was stories we live. participants learned how stories shape individual identity and improve social intelligence and relational abilities. 
 during the two-hour course, the cohort worked with georgia tech story coaches -- including alexander; emma blandford, assistant director for living learning communities for the college of sciences; lindsey laney, academic program manager for georgia tech professional education; kathleen schaag, brittan fellow with the school of literature, media, and communication (lmc); stephanie ray, associate dean of students and director of diversity programs for the division of student life; and wendy truran, visiting lecturer with the school of lmc  -- who advised participants on how to excavate thought details and boost expression and creativity. some stories may emerge for publication in institute diversity, equity, and inclusion's growing digital story library, the 
 transformative narratives . 
 the cohort have also completed the neuroleadership institute's neuroscience of smart teams (include) and neuroscience of breaking bias (decide) modules. participants completed self-guided learning exercises and weekly reflections on the practices of creating inclusive team cultures and recognizing biases. later into the program, neuroleadership's jeff salters and ric oslin facilitated the cohort through 60-minute interactive webinars to hone the module teachings. 
 ""at this point in the program participants should have a good sense of how to identify and mitigate their unconscious biases, the power of vulnerability, and stories to create connected, collaborative, and engaging work environments,"" alexander said. ""additional sessions to come include instruction on antiracism empathy, creating a calling-in culture, and resilience. the session on resilience will be facilitated by joi alexander, director of health initiatives, and sonia alvarez-robinson, executive director of georgia tech strategic consulting. 
 after completing all of the basic certificate requirements, participants will be celebrated during a closing program in may. they will also be eligible for diversity, equity, and inclusion leadership and career coaching as part of a growing community of practice. 
 ""through this award-winning initiative, we believe that georgia tech is leading by example,"" alexander added. ""we are already developing staff and faculty leaders at all levels who are inclusive, accountable, and determined to be exceptional champions of a culture where all contributors can thrive. the challenge ahead is to scale this and similar opportunities to more leaders at tech, higher education, and the world."" 
 the 2021 inclusive leaders academy participants are: rashidah bahar-graham, lula baker, kathryn ballou, susan belmonte, kelley bennett, ashton bettis, james black, scott bleiweis, ilana blumenfeld-gantz, neil bright, l. renee brown, pam buffington, michele burts, karen cannon, mayumi cole, mysty connelly, malvenia dasher, jessica tyler davis, aiesha dawda, harry dewhurst, debbie dorsey, jim fortner, dana foster, kelly fox, melissa fralick, andy frazee, ivy gardner, evan goldberg, tigiste habtemariam, robert hampson, casey hampton, jimmie hardin, kayli harlan, kim harrington, kasey helton, bryony higgins, courtney hill, brittany hodges, nasrin hooshmand, jessica howard, daren hubbard, gail imoukhuede, mitsuko ito, kristy jennings, monique johnson, amy johnson, shiraz karaa, april kelly, bridgett kemp, kathleen kirk, anita lamb, season lewis, nicole little, chantal manchester, rachel matthews, keith mcbride, leigh mccook, tammy mccoy, cassy mcinnis, janise mckenzie, melanie megenity, derrick morse, allison noffsinger, lorie paulez, rachael pocklington, elisha quillen smith, kerry-gaye rainford-creary, victoria razin, tangirala reddy, elizabeth reese, franz reneau, kelci reyes-brannon, jon riling, yelena rivera, arianna robinson, will roddy, kyla ross, tina rousselot de saint ceran, elizabeth ryan, lakeita servance, mike shannon, keisha simmons, andy smith, vincent sollicito, quinn spadola, tanesha steward, yevgenya (jenny) strakovsky, diana sutton-fernandez, janaki tambe, denise thomas, john thornton, duc (david) tran, troy walcott, kerry wallaert, jeff white, mark whorton, kristen wingate, shaunitra wisdom, leyu wondwossen. natalie wood, nazia zakir, nuyun zhang, and tony zivalich. 
 to learn more about the inclusive leaders academy, visit:  sdie.gatech.edu / programs-and-initiatives / leadership-development / inclusive-leaders-academy . 
 additional images 
 contact 
 courtney hill 
 communications manager 
 institute diversity, equity, and inclusion 
 courtney.hill@gatech.edu 
 email 
 courtney.hill@gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",liberal arts
100-students-faculty-and-staff-tour-civil-rights-sites-nations-capital-during-mlk.txt,"100 students, faculty, and staff tour civil rights sites in the nation's capital during mlk weekend 
 during the weekend commemorating the life and inspiration of dr. martin luther king jr., 76 students and 24 faculty and staff from georgia tech traveled to washington, d.c., to tour several civil rights sites. 
 alexander pegues, undergraduate student in the george w. woodruff school of mechanical engineering, at the washington monument 
 jan 30, 2017 
 - atlanta, ga 
 during the weekend commemorating the life and inspiration of dr. martin luther king jr., 76 students and 24 faculty and staff from georgia tech traveled to washington, d.c., to tour several civil rights sites. this tour is part of the institute's mlk celebration, an ambitious slate of educational programs, arts and cultural performances, and service opportunities to encourage active participation from the campus and atlanta community. 
 students, faculty, and staff departed in charter buses on the night of january 12 to visit museums and memorials over the next two days, including the national museum of african american history and culture, the king memorial, national mall, national museum of the american indian, and the united states holocaust memorial museum. 
 associate dean of students and director of student diversity programs stephanie ray reflected on why georgia tech's mlk student board organized the civil rights tour in d.c.: ""we followed the life of dr. king. after leading civil rights trips in montgomery, ala. in 2012 and birmingham, ala. in 2013, the next goal was to end our tour by visiting the king memorial and national museum of african american history and culture in our nation's capital."" 
 here is what student participants said about their experiences during the civil rights tour: 
 why did you want to go on this trip? 
 ""i wanted to experience the history and culture of africans before being brought to america. i also wanted to learn more about the native american culture beyond what is presented in history books."" 
 - 
 alexander pegues, undergraduate student in the george w. woodruff school of mechanical engineering 
 what was your favorite part of this trip? 
 ""the national museum of african american history and culture, hands down. from the photos to the interactive learning, it was beautifully designed and presented. the experience was more than you could imagine."" 
 - 
 khadijah boles, undergraduate student in the wallace h. coulter department of biomedical engineering 
 what have you learned from this experience that you could apply in your daily life? 
 ""for us, as a people, to progress, we need to come together as one. we also need to make education available to everyone, especially our youth. i plan to start programs for youth that i didn't have in school but was blessed to have family who taught me."" 
 - 
 khadijah boles, undergraduate student in the wallace h. coulter department of biomedical engineering 
 ""i saw the triumph of the human spirit over oppression. i apply that triumph to my own daily small victories."" 
 - 
 tj funso, undergraduate student in the h. milton stewart school of industrial & systems engineering 
 school of earth and atmospheric sciences assistant professor jennifer glass also shared her experiences on the civil rights tour at 
 www.storify.com / jenniglass / gt-civil-rights-tour-of-dc . 
 this year's tour was sponsored by the college of engineering, college of sciences, department of housing, division of student life, institute diversity, lgbtqia resource center, office of student diversity programs, and parent's fund for student life and leadership. to learn more about the civil rights tour and georgia tech's mlk celebration, visit 
 www.diversity.gatech.edu / mlk-celebration . 
 additional images 
 contact 
 annette filliat 
 communications manager 
 institute diversity 
 annette.filliat@gatech.edu 
 email 
 annette.filliat@gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",liberal arts
12-emerging-technologies-may-help-power-future.txt,"12 emerging technologies that may help power the future 
 georgia tech researchers are developing a broad range of energy technologies. 
 ""a na-tecc engine could sit in your backyard and use heat from the sun to power an entire house,"" shannon yee, assistant professor in georgia tech's george w. woodruff school of mechanical engineering. 
 apr 17, 2016 
 - atlanta, ga 
 the world human population is already more than 7 billion - a number that could exceed 11 billion by 2100, according to projections from the united nations. this rising populace, coupled with environmental challenges, puts even greater pressure on already strained energy resources. granted, there's no silver bullet, but georgia tech researchers are developing a broad range of technologies to make power more abundant, efficient, and eco-friendly. this feature provides a quick look at a dozen unusual projects that could go beyond traditional energy technologies to help power everything from tiny sensors to homes and businesses. read the 
 complete feature 
 on the research horizons website 
 additional images 
 contact 
 john toon research news jtoon@gatech.edu (404) 894-6986 
 email 
 jtoon@gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",STEM
12-georgia-tech-faculty-members-receive-regents-recognition-0.txt,"12 georgia tech faculty members receive regents recognition 
 the university system of georgia (usg) board of regents (bor) appointed 12 georgia tech faculty members to regents professors and regents researchers. 
 regents professors and regents researchers, top row (l-r): amy bruckman, john cressler, greg gibson, david gottfried, ajay kohli, and tim lieuwen. bottom row (l-r): glenn parker, michael rodgers, catherine ross, david sherrill, gregory showman, and john stasko. 
 aug 17, 2021 
 - atlanta, ga 
 the university system of georgia (usg) board of regents (bor) appointed 12 georgia tech faculty members to regents professors and regents researchers. 
 reappointments to the title of regents professor are: 
 john stasko , professor in the college of computing 
 catherine ross , harry west professor of city and regional planning in the college of design and adjunct professor in the school of civil and environmental engineering 
 timothy lieuwen , david s. lewis jr. chair in the daniel guggenheim school of aerospace engineering and adjunct professor in the george w. woodruff school of mechanical engineering 
 ajay kohli , gary t. and elizabeth r. jones chair in management in the ernest j. scheller jr. college of business 
 appointments to the title of regents professor are: 
 amy bruckman , professor in the college of computing 
 john cressler , schlumberger chair in electronics in the college of engineering 
 gregory gibson , tom and marie patton chair in the college of sciences 
 charles david sherrill , professor in the college of computing and the college of sciences 
 appointments to the title of regents researcher are: 
 david gottfried , principal research scientist and senior assistant director of the institute for electronics and nanotechnology 
 glenn parker , principal research engineer and associate director of the applied systems laboratory in the georgia tech research institute (gtri) 
 gregory showman , principal research engineer and gtri fellow, sensors and electromagnetic applications laboratory 
 and one reappointment to the title of regents researcher: 
 michael rodgers , principal research scientist in the college of engineering 
 ""it was a pleasure to nominate these outstanding faculty members for recognition by the board of regents,"" said steven w. mclaughlin, provost and executive vice president for academic affairs. ""i'd like to congratulate and thank each of them for their exemplary leadership and service, commitment to excellence in research and scholarship, and dedication to the education, growth, and well-being of our students."" 
 each year, the college deans may nominate two academic faculty members for the regents professor title and one research faculty member for the regents researcher title. gtri may nominate two research faculty members for regents researcher. the titles are awarded upon approval of the usg chancellor and its committee on academic affairs only with unanimous recommendation of the institute regents professor and researcher selection committee, the institute's president, the executive vice president for research, and the provost and executive vice president for academic affairs. 
 the bor approved the nominations on aug. 10. 
 additional images 
 contact 
 victor rogers 
 institute communications 
 email 
 victor.rogers@comm.gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",STEM
12-georgia-tech-faculty-members-receive-regents-recognition.txt,"12 georgia tech faculty members receive regents recognition 
 bor bestows highest academic recognition. 
 regents professors and regents researchers, top row (l-r): amy bruckman, john cressler, greg gibson, david gottfried, ajay kohli, and tim lieuwen. bottom row (l-r): glenn parker, michael rodgers, catherine ross, david sherrill, gregory showman, and john stasko. 
 aug 17, 2021 
 - atlanta, ga 
 the university system of georgia (usg) board of regents (bor) appointed 12 georgia tech faculty members to regents professors and regents researchers. 
 reappointments to the title of regents professor are: 
 john stasko , professor in the college of computing 
 catherine ross , harry west professor of city and regional planning in the college of design and adjunct professor in the school of civil and environmental engineering 
 timothy lieuwen , david s. lewis jr. chair in the daniel guggenheim school of aerospace engineering and adjunct professor in the george w. woodruff school of mechanical engineering 
 ajay kohli , gary t. and elizabeth r. jones chair in management in the ernest j. scheller jr. college of business 
 appointments to the title of regents professor are: 
 amy bruckman , professor in the college of computing 
 john cressler , schlumberger chair in electronics in the college of engineering 
 gregory gibson , tom and marie patton chair in the college of sciences 
 charles david sherrill , professor in the college of computing and the college of sciences 
 appointments to the title of regents researcher are: 
 david gottfried , principal research scientist and senior assistant director of the institute for electronics and nanotechnology 
 glenn parker , principal research engineer and associate director of the applied systems laboratory in the georgia tech research institute (gtri) 
 gregory showman , principal research engineer and gtri fellow, sensors and electromagnetic applications laboratory 
 and one reappointment to the title of regents researcher: 
 michael rodgers , principal research scientist in the college of engineering 
 ""it was a pleasure to nominate these outstanding faculty members for recognition by the board of regents,"" said steven w. mclaughlin, provost and executive vice president for academic affairs. ""i'd like to congratulate and thank each of them for their exemplary leadership and service, commitment to excellence in research and scholarship, and dedication to the education, growth, and well-being of our students."" 
 each year, the college deans may nominate two academic faculty members for the regents professor title and one research faculty member for the regents researcher title. gtri may nominate two research faculty members for regents researcher. the titles are awarded upon approval of the usg chancellor and its committee on academic affairs only with unanimous recommendation of the institute regents professor and researcher selection committee, the institute's president, the executive vice president for research, and the provost and executive vice president for academic affairs. 
 the bor approved the nominations on aug. 10. 
 additional images 
 contact 
 victor rogers 
 institute communications 
 email 
 victor.rogers@comm.gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",STEM
12th-annual-france-atlanta-returns-georgia-tech-virtual-and-person-events.txt,"12th annual france-atlanta returns to georgia tech with virtual and in-person events 
 the french-american series of events begins on october 15. 
 oct 14, 2021 
 - atlanta, ga 
 georgia tech continues its annual collaboration with the consulate general of france in atlanta to present the 12 th 
 annual france-atlanta series from oct. 15 to nov. 5. created in 2010, the french-american series fosters cooperation and exchange between france and the southeastern united states in the realms of science, business, culture, and humanitarian affairs. 
 this year's events will celebrate innovation, uniting many of georgia tech's top programs with french counterparts to explore future cooperation and expand the institute's global footprint. france-atlanta events will take place virtually and in person and are open to the public. 
 upcoming events with georgia tech 
 casual creators: how new tools are changing artistic practices 
 tuesday, oct. 19 
 11:30 a.m. 
 professor jason freeman, from georgia tech's school of music, joins ircam ( institut de recherche et coordination acoustique / musique) 
 at the intersection of art and technology. 
 this event explores whether digital and other systems can be designed to help these casual users tap into their creative sides. panelists will also discuss the design of creativity-augmentation systems that rely on computational creativity. 
 transatlantic tech success 
 tuesday, oct. 26 
 10 a.m. 
 this summit will bring together outstanding entrepreneurs, tech leaders, government officials, the creative destruction lab-atlanta at the scheller college of business, and other stakeholders from both france and the southeast. discussions will center on channels of collaboration and the key components of success that transatlantic innovators seeking to conquer the u.s. market should consider before starting their entrepreneurial journey in atlanta. 
 proteins of the future 
 thursday, oct. 28 
 11 a.m. 
 french and american researchers and entrepreneurs from the agri-food sector will present advances in research on plant and synthetic proteins, their environmental impact, as well as associated ethical and regulatory issues. create-x 2015 participants grubbly farms will join this virtual discussion on new food sources and alternative proteins. 
 ethical management of ai: a french-american dialogue 
 tuesday, nov. 2 
 9 a.m. 
 jason borenstein, director of the graduate research ethics programs at tech, joins the second annual conference on the ethics of artificial intelligence. this virtual event will cover the approaches taken by france, the european union, and the united states to address the future of ai and big data and mitigating potential ethical issues. 
 several georgia tech departments will sponsor seminars and workshops. learn more and view a full schedule of events at: 
 france-atlanta.org . 
 additional images 
 contact 
 siobhan rodriguez 
 institute communications 
 email 
 sar30@gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",STEM
13-year-old-starts-first-day-georgia-tech-aerospace-engineering-student.txt,"13-year-old starts first day at georgia tech as aerospace engineering student 
 caleb anderson realizes his dream of being a student at georgia tech at just 13 years old. 
 aug 24, 2021 
 - atlanta, ga 
 caleb anderson stunned the world when his family shared a now viral story highlighting just how gifted he was - reading the u.s. constitution at the age of 2 and starting high school at just 10. 
 his brilliance caught the attention of admissions offices at colleges around the country. when asked about his future, he was clear that his dream school was georgia tech where he'd hope to major in  aerospace engineering . anderson was accepted to georgia tech in spring 2021. 
 a dream realized, on monday, he was among the thousands of students welcomed to georgia tech's campus for the first day of fall classes. while most 13 year olds are starting middle school, anderson started his first day as a sophomore with an integral calculus class. 
 when asked about his first day, anderson said, ""it was pretty interesting."" he also admitted that he'd underestimated how large the campus is, calling it ""massive."" despite the size, he says he did feel at home on campus. he shared that as the day of classes went on, his nerves subsided, and he was excited to be starting this journey. ""this is the kind of school i have been wanting to go to for a very long time, and i am finally here,"" he added. 
 his parents, kobi and claire anderson, were right by his side for his first day. he jokingly referred to his dad as his ""chauffeur."" the andersons beamed with pride about the experience but also expressed that it was unnerving. ""have we prepared him enough?"" his mother questioned. ""have we taught him enough about failure?"" 
 but his father says, ""he's willing to be stretched. he knows how to get back from a punch … and continues to strive."" 
 anderson is the youngest student on georgia tech's campus, and he doesn't take that for granted. as a young african american boy, he understands the magnitude of being a positive and inspirational influence in his community. his mom hopes that by continuing to share his story that their family can help to ""shift the perspective of what you see when you see a young black man. this could be a future aerospace engineer."" 
 despite garnering the world's attention for being a genius, anderson continues to lead with humility. he revealed it wasn't until he was sitting in his second lecture class of the day that he thought to himself, ""wow, maybe i  am  advanced."" 
 when he's not studying to be an engineer, he's a normal teen that likes to sleep in - and, admittedly, procrastinates. he also says that some people believe that things come easily to him, but that is not the case. 
 ""i am really proud of him, but i am really grateful to georgia tech for opening a door of opportunity to a student like caleb,"" said his mom. 
 while on campus, anderson is hoping to join clubs like the  ramblin' rocket club . his long-term goals include earning a master's degree from georgia tech, pursuing a career at spacex, and starting his own company. his top goal is to pay it forward, saying, ""i want to help others that may just need nurturing and resources."" 
 additional images 
 contact 
 ayana isles institute communications 
 email 
 aisles3@gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",STEM
18-million-face-shields-delivered-protect-medical-workers-covid-19.txt,"1.8 million face shields delivered to protect medical workers from covid-19 
 an initiative launched by georgia tech and supported by a community of companies has helped produce nearly 2 million face shields. 
 robin mauldin, rn, bsn, wears a face shield at prisma health medical group in columbia, south carolina. the shield was produced through a manufacturing effort launched by georgia tech and supported by a group of industrial collaborators. (prisma health midlands foundation) 
 jul 27, 2020 
 - atlanta, ga 
 personal initiatives by a pediatrician and by researchers to make face shields for medical workers have transformed into an industry collaboration that by june had delivered 1.8 million shields to hospitals and other organizations around the country with plans to produce 2.5 million all total. a $2 million donation from aflac incorporated for personal protective equipment (ppe) financed the bulk of the shields. 
 to make it happen, a team of researchers and industry partners convened at the 
 global center for medical innovation 
 (gcmi), a georgia tech-affiliated nonprofit that guides new experimental medical solutions to market. the group combined the physician's vision with the researchers' original designs, adjusted them to pass fda emergency guidelines, and then coordinated mass production and distribution. 
 a physician's wisdom 
 the project grew wings in mid-march, after dr. joanna newton became concerned that the nationwide shortage of ppe was leaving healthcare workers across the country vulnerable. newton is a physician specializing in improving healthcare safety through technology at 
 children's healthcare of atlanta , and she was already collaborating with georgia tech on other projects. 
 she grabbed the phone to leverage the connection. 
 ""i called sherry farrugia to tell her about my idea to 3d-print ppe. we needed to quickly find a solution for the ppe shortage around the country, and i knew we had the right team here in atlanta to help,"" said newton, a pediatric hematologist / oncologist at the aflac cancer and blood disorders center of children's. 
 ""the situation was urgent, and i knew who would have the right expertise to get this done,"" said farrugia, chief operating officer and strategy officer of 
 children's healthcare of atlanta pediatric technology center , which is part of georgia tech. 
 farrugia had newton present her idea at gcmi to researchers, advisors, and industry partners who immediately put together a team to address the need for face shields to protect healthcare workers from droplets containing the coronavirus. she also discussed the need with 
 devesh ranjan , associate chair of the 
 george w. woodruff school of mechanical engineering , who suggested connecting the effort to a parallel initiative in that school. 
 bringing in engineers 
 at the same time, along with ranjan,  sam graham , chair of the 
 george w. woodruff school of mechanical engineering , and 
 susan margulies , chair of the 
 wallace h. coulter department of biomedical engineering , were coordinating efforts across campus to develop various medical devices in response to the pandemic. graham, margulies, and ranjan quickly connected gcmi with 
 christopher saldana 
 and 
 saad bhamla , faculty members in georgia tech's college of engineering, who were leading an simultaneous effort to address the face shield problem with their students using rapid fabrication techniques like 3-d printing, laser cutting, and waterjet cutting. 
 ""the georgia tech mechanical engineering team used rapid fabrication equipment and quickly produced multiple face shield designs that could be manufactured in high volumes for the rapid response environment that covid-19 required,"" saldana said. 
 making a few thousand shields in a lab had likely already saved lives, but the georgia tech researchers and gcmi put their designs on the internet, where they have been downloaded thousands of times by organizations manufacturing them around the world. and the manufacturing partners they engaged have been turning out hundreds of thousands of shields to save many more lives. 
 ""you may need 45 minutes for a headband with a 3d printer, but manufacturers turn out six of them every 19 seconds. then making a million face shields becomes a real possibility,"" said mike fisher, who leads product development at gcmi. 
 gcmi opened a gofundme page, which brought in $20,000, and then engaged their first manufacturing partner, delta air lines. 
 a manufacturing explosion 
 ""delta converted one of their groups from manufacturing airplane interiors to doing the face shields. they started off by manufacturing 6,000 shields, and that got the momentum going,"" leiter said. ""two thousand shields went to mount sinai hospital in new york; 2,000 went to piedmont healthcare in atlanta; and 2,000 went to children's healthcare of atlanta."" 
 things began to snowball. 
 graham engaged siemens industries to fulfill a face shield order from the georgia emergency management agency (gema) for distribution in georgia. partners from exxonmobil began looking for more potential manufacturers. and aflac contacted children's looking for worthy covid-19 related efforts to support. 
 ""we asked for a donation of $500,000 for manufacturers to retool their operations. aflac made a gift of $2 million to gcmi to promote the production of ppe,"" farrugia said. ""we were able to buy tooling for an automotive plastics manufacturer called quality model in south carolina, and they have made over 750,000 face shields so far."" 
 gcmi won a bid from the federal emergency management agency (fema) for 1,141,600 face shields, which are being made by quality model, where exxonmobil helped rearrange production lines for shields. 
 siemens made an additional 100,000 shields from aflac's gift, which is also being used to purchase existing ppe to donate to healthcare workers. kia motors quickly produced an initial 15,000 shields, which the company financed itself. 
 ""kia got the open source design from the georgia tech website and ran with it on their own,"" saldana said. 
 these partners are delivering the following number of shields: quality model, 1,251,600; kia motors, 300,000; siemens industries, 205,000; delta air lines, 106,100; georgia tech, 20,000; and eis, 15,000. and more are still to come. 
 the shields went across the country, from hospitals in new york city to prisma health in south carolina, to nursing homes in the pensacola area, and to rural louisiana and mississippi, leiter said. 
 thanks in large part to aflac's gift, gcmi and farrugia are coordinating with partners, including georgia tech engineers, to produce n95 masks, hospital gowns, and hand sanitizer, all redesigned for the covid-19 age. 
 research news 
 georgia institute of technology 
 177 north avenue 
 atlanta, georgia  30332-0181  usa 
 media relations assistance : john toon (404-894-6986) (jtoon@gatech.edu). 
 writer : ben brumfield 
 additional images 
 contact 
 john toon 
 research news 
 (404) 894-6986 
 email 
 jtoon@gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",STEM
19-tech-faculty-receive-regents-distinctions.txt,"19 tech faculty receive regents' distinctions 
 board of regents' distinctions honor the recipients for their outstanding contributions and excellence. 
 apr 25, 2024 
 the university system of georgia's board of regents has honored 19 georgia tech faculty members with 2024 regents' distinctions. these accolades recognize the recipients' outstanding contributions and excellence in education, research, and innovation. 
 ""these amazing colleagues exemplify the spirit of excellence and dedication that defines georgia tech's faculty,"" said 
 steve mclaughlin , provost and executive vice president for academic affairs. ""their contributions not only advance knowledge within their respective fields but also positively impact our community at large. working alongside these faculty members is an honor and inspires me every day."" 
 georgia tech faculty named as regents' professors include: 
 amy bruckman 
 (renewal), senior associate chair, school of interactive computing, college of computing 
 john cressler 
 (renewal), schlumberger chair in electronics, school of electrical and computer engineering, college of engineering 
 greg gibson 
 (renewal), tom and marie patton chair in biological sciences and director of the center for integrative genomics, school of biological sciences, college of sciences 
 thomas kurfess , professor and husco / ramirez distinguished chair in fluid power and motion control, george w. woodruff school of mechanical engineering, college of engineering 
 wenke lee , professor and john p. imlay jr. chair in software, school of computer science and school of cybersecurity and privacy, college of computing 
 brian magerko , professor and director of graduate studies in digital media, head of the expressive machinery lab, school of literature, media, and communication, ivan allen college of liberal arts 
 patricia mokhtarian , clifford and william greene jr. professor, school of civil and environmental engineering, college of engineering 
 charles david sherrill 
 (renewal), professor, school of chemistry and biochemistry, college of sciences and associate director for research and education, institute for data engineering and science 
 georgia tech faculty named as regents' researchers include: 
 david gottfried 
 (renewal), senior assistant director and principal research scientist, institute for electronics and nanotechnology, college of engineering 
 gregory showman 
 (renewal), fellow and principal research engineer, sensors and electromagnetic applications laboratory, gtri 
 jeffrey sitterle , principal research scientist and chief innovation officer, information and cyber sciences directorate, gtri 
 leanne west , chief engineer of pediatric technology and principal research scientist, georgia tech pediatric innovation network 
 jie xu , head of chemical and biological systems branch and principal research scientist, gtri 
 david zurn , test engineering division chief and principal research scientist, gtri 
 georgia tech faculty named as regents' entrepreneurs include: 
 mustaque ahamad , professor, school of computer science and school of cybersecurity and privacy, college of computing 
 omer inan , professor and linda j. and mark c. smith chair, school of electrical and computer engineering, college of engineering 
 rampi ramprasad , professor and michael e. tennenbaum family chair, georgia research alliance eminent scholar in energy sustainability, school of materials science and engineering, college of engineering 
 georgia tech faculty named as regents' innovators include: 
 alexander alexeev , professor and joseph anderer faculty fellow, george w. woodruff school of mechanical engineering, college of engineering 
 georgia tech faculty named to the georgia mining association early career professorship: 
 sheng dai , associate professor and group coordinator in geosystems engineering, school of civil and environmental engineering, college of engineering 
 writer: brittany aiello, faculty communications program manager, organizational and academic communications, institute communications 
 contact 
 office of the provost 
 email 
 provostsoffice@gatech.edu 
 georgia institute of technology 
 north avenue atlanta, ga 30332 
 +1 404.894.2000",STEM
